Stock,Epic,Qty,Price,Target,Stop,Date,Sell,Sell Date,P/L
YU Group,YU,1000,590.0,950,450,2023-01-18,711.0,2023-03-13,1210.0
ITV,ITV,10000,78.8,95,72,2023-01-17,89.5,2023-02-27,1070.0
Argentex,AGFX,5000,120.0,145,105,2023-01-17,125.68,2023-06-29,284.0
Globaldata,DATA,500,1270.0,1550,1110,2023-01-10,1301.0,2023-06-05,155.0
Games Workshop,GAW,150,9074.45,9600,8600,2023-01-05,8721.0,2023-03-13,-53.0
Bodycote,BOY,800,595.1,750,550,2023-01-04,677.0,2023-03-01,656.0
Me Group International,MEGP,3000,113.5,135,98,2023-01-03,,,
Wilmington,WIL,1500,309.0,350,265,2022-12-22,335.1,2023-03-02,391.0
Superdry,SDRY,10000,115.3,155,99,2022-12-22,152.9,2023-01-23,3760.0
Indivior,INDV,200,1812.0,2050,1600,2022-12-20,1702.0,2023-02-16,-220.0
EKF Diagnostics,EKF,5000,43.3,55,35,2022-12-16,39.3,2023-02-03,-200.0
OMG,OMG,7500,96.3,110,75,2022-12-16,96.37,2023-04-27,5.0
MS Int,MSI,1000,455.0,750,350,2022-12-16,,,
Sureserve,SUR,5000,70.0,90,62,2022-12-12,123.9,2023-05-02,2695.0
MS Int,MSI,1000,387.5,490,350,2022-12-08,,,
K3C,K3C,2000,305.0,400,270,2022-12-08,347.0,2023-01-12,830.0
Victorian Plumbing,VIC,4500,67.3,82,61,2022-12-08,91.5,2023-02-06,1089.0
Indivior,INDV,200,1734.0,1900,1675,2022-12-05,1702.0,2023-02-16,-84.0
Knights Group,KGH,5000,86.4,105,79,2022-12-01,120.0,2023-01-16,1680.0
Knights Group,KGH,5000,88.5,107,80,2022-12-01,120.0,2023-01-16,1575.0
LBG Media,LBG,5000,64.0,100,52,2022-12-01,112.6,2023-02-21,2430.0
Facilities by ADF,ADF,5000,53.9,68,43,2022-11-30,54.3,2023-06-29,20.0
Record,REC,4000,86.3,98,76,2022-11-29,95.75,2023-02-22,378.0
YU Group,YU,1000,330.0,450,270,2022-11-23,,,
Alliance Pharma,APH,10000,36.6,51,32,2022-11-23,70.0,2023-03-06,3340.0
